Acetobacteraceae;49;2.36145e+06;120931;196038;752842
Acholeplasmatales;9;29619.5;8346.5;8129.21;10460.1
Actinomycetales;13;130721;24304.5;28127.4;39870.4
Aeromonadaceae;30;1.22909e+06;100350;118646;394199
Alteromonadaceae;48;3.1972e+06;165173;265422;1.00066e+06
Anaplasmataceae;32;424415;33342.5;42766.6;132885
Aquificaceae;10;55376.4;13202.1;12284.2;17654.2
Bacteroidia;59;3.98453e+06;167124;349975;1.20522e+06
Bartonellaceae;22;292091;33379.1;40950.5;90717.8
Bifidobacteriales;76;3.95122e+06;131948;214675;1.206e+06
Borreliaceae;30;406286;33827.7;33726;171383
Bradyrhizobiaceae;31;1.84424e+06;140095;200250;601803
Brucellaceae;77;6.10373e+06;196388;169735;1.87601e+06
Caulobacteraceae;14;221584;38857.5;45778.4;70364.9
Chlamydiales;121;5.61221e+06;122602;141449;1.77338e+06
Chlorobia;14;162264;29081.2;36396;49134.5
Clostridiales;178;3.52415e+07;505234;0.0;1.10964e+07
Comamonadaceae;45;2.8509e+06;153352;282106;888257
Cytophagia;35;2.04479e+06;136526;244125;638515
Dehalococcoidales;24;290135;30183.2;24937.4;85191.7
Deinococcales;13;191228;33966.2;39058.6;62698.5
Desulfobacterales;10;139232;32179;35621.2;42099
Desulfovibrionales;19;386933;49503.5;67585.8;116675
Desulfuromonadales;18;413172;54001.2;70547.5;123020
Ectothiorhodospiraceae;11;127791;25861.6;28643.5;39189.3
Entomoplasmatales;24;242837;24358.1;28870.4;78128.2
Erwiniaceae;53;2.25043e+06;102079;199779;700542
Erythrobacteraceae;14;198527;33546.3;39896.6;60656.1
Flavobacteriia;139;1.78659e+07;317726;0.0;5.42842e+06
Francisellaceae;61;2.27441e+06;92668.3;105949;701660
Fusobacteriaceae;19;274008;33762.9;34038.1;87894.5
Hafniaceae;15;290332;45427.6;47443.1;87821.7
Halomonadaceae;33;690418;50398.9;85599.2;219548
Hyphomicrobiaceae;13;221107;41381;48947.8;66467.3
Legionellaceae;73;5.70094e+06;192190;233212;1.66352e+06
Leptospiraceae;17;377160;53605.5;55172.2;121135
Methylobacteriaceae;15;399817;64243.5;68980;134526
Micrococcales;92;8.71428e+06;239055;0.0;2.76696e+06
Micromonosporales;10;205920;49848.2;50052.4;69856.9
Moraxellaceae;124;1.69114e+07;346297;590330;5.2297e+06
Morganellaceae;26;890320;79362.9;108267;268862
Mycoplasmatales;156;7.11793e+06;125503;262992;2.42015e+06
Myxococcales;20;1.02232e+06;119698;158213;336454
Neisseriaceae;98;6.35221e+06;163649;176882;2.02197e+06
Nostocales;16;509211;76862.4;98115.9;164856
Oscillatoriophycideae;25;1.01472e+06;98337.6;143818;339036
Oxalobacteraceae;25;919333;90050.5;126348;302123
Pasteurellaceae;103;7.19184e+06;175482;352288;2.26478e+06
Pectobacteriaceae;22;721034;77401.9;93136.8;218150
Phyllobacteriaceae;14;356320;60611.8;66899.5;113610
Piscirickettsiaceae;24;546782;52898.7;50451.5;184663
Planctomycetales;12;294242;59349.8;72426.2;91795.1
Propionibacteriales;39;1.44571e+06;91694.7;141649;435180
Pseudoalteromonadaceae;14;312320;51198.5;54991.1;94195.8
Pseudonocardiales;26;1.48904e+06;133120;171415;503127
Rhizobiaceae;95;1.55288e+07;408822;908629;5.14599e+06
Rhodobacteraceae;59;4.38515e+06;184418;400386;1.49319e+06
Rhodospirillaceae;21;636891;73228;99786.1;239284
Rickettsiaceae;51;1.09072e+06;54785.3;64570.4;368818
Shewanellaceae;29;1.26663e+06;107263;158004;401809
Sphingobacteriia;12;252988;49713.6;57799;79902.7
Sphingomonadaceae;53;3.41399e+06;159978;324327;1.14414e+06
Spirochaetaceae;20;365894;46223;62453.8;122094
Streptomycetales;79;1.33576e+07;425853;0.0;4.71314e+06
Synechococcales;57;3.10635e+06;139383;311980;1.00044e+06
Thermales;14;145947;25362.3;28878.2;51042.9
Thermoanaerobacterales;35;1.00098e+06;70154.1;108937;310241
Thermotogaceae;20;253918;31677.2;36126.9;79448.6
unclassified Burkholderiales;12;194315;39471;45960.8;65426.4
Vibrionaceae;121;2.08181e+07;437094;0.0;6.52793e+06
Xanthomonadaceae;128;2.1748e+07;430816;803021;7.42591e+06
Yersiniaceae;106;1.55791e+07;371666;679625;4.92006e+06
